,risk_tolerance,investment_experience,liquidity_needs,platform,time_spent,instrument_type_first_traded,first_deposit_amount,time_horizon,user_id,chunked
0,high_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,33.1294166667,stock,40.0,med_time_horizon,895044c23edc821881e87da749c01034,1
1,med_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,16.5735166667,stock,200.0,short_time_horizon,458b1d95441ced242949deefe8e4b638,0
2,med_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,10.008366666699999,stock,25.0,long_time_horizon,c7936f653d293479e034865db9bb932f,1
3,med_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,1.0316333333299998,stock,100.0,short_time_horizon,b255d4bd6c9ba194d3a350b3e76c6393,0
4,high_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,8.18725,stock,20.0,long_time_horizon,4a168225e89375b8de605cbc0977ae91,1
5,med_risk_tolerance,no_investment_exp,not_important_liq_need,iOS,12.9681166667,stock,100.0,med_time_horizon,0322b1d744cc89ebbe6ebe70d824d922,0
6,low_risk_tolerance,good_investment_exp,very_important_liq_need,Android,30.7100833333,stock,5.0,long_time_horizon,f4cac8c1544b723ddedc9bdba81c64c0,1
7,high_risk_tolerance,good_investment_exp,somewhat_important_liq_need,iOS,0.0,stock,100.0,short_time_horizon,bdc39d2fc664ef9a5e6713168057f892,0
8,high_risk_tolerance,good_investment_exp,very_important_liq_need,iOS,0.0,stock,5000.0,short_time_horizon,85f2f0f54411b4f3e7a403ba902e7280,0
9,med_risk_tolerance,no_investment_exp,very_important_liq_need,Android,2.96961666667,stock,11.0,med_time_horizon,529ddd19dac72d55cde8e633340a9aed,1
10,med_risk_tolerance,no_investment_exp,very_important_liq_need,both,9.4436,stock,50.0,short_time_horizon,bf7d43376fee932d78537347beb07e36,0
11,high_risk_tolerance,good_investment_exp,very_important_liq_need,Android,3.35893333333,etp,1000.0,long_time_horizon,56bea929bcaeae73d3737a42c02bfc3c,0
12,high_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,74.3467666667,stock,200.0,short_time_horizon,b63f1ab8005b313815f116ea99ae1864,0
13,high_risk_tolerance,no_investment_exp,somewhat_important_liq_need,iOS,0.9879666666670001,stock,3000.0,med_time_horizon,3bc30bf7afa2a7ef04bb7d8f9742d752,0
14,med_risk_tolerance,no_investment_exp,very_important_liq_need,Android,4.52153333333,adr,5000.0,long_time_horizon,51a4ce44d4bc392a4a2db226308e8d0b,0
